id,contract,venue,desk,trader,bid,ask,spread,filled,status,trendSeed,updatedAt
1,Copper Jan 26,Chicago,D-251,Maya Chen,60.00,60.05,0.05,8,Open,12,1s ago
2,Nickel Mar 26,Singapore,D-628,Noah Park,61.70,61.80,0.10,13,Filled,13,2s ago
3,Aluminum May 26,Frankfurt,D-844,Iris Chen,63.40,63.55,0.15,26,Monitoring,14,3s ago
4,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,65.10,65.30,0.20,39,At risk,15,4s ago
5,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,66.80,67.05,0.25,52,Open,16,5s ago
6,Cotton Nov 26,Singapore,D-2874,Luca Perez,68.50,68.55,0.05,65,Filled,17,1s ago
7,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,70.20,70.30,0.10,78,Monitoring,18,2s ago
8,Wheat Mar 26,Sao Paulo,D-628,Noah Park,71.90,72.05,0.15,91,At risk,19,3s ago
9,Copper May 26,Chicago,D-844,Iris Chen,73.60,73.80,0.20,8,Open,20,4s ago
10,Nickel Jul 26,Singapore,D-1071,Sofia Bell,75.30,75.55,0.25,21,Filled,21,5s ago
11,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,77.00,77.05,0.05,34,Monitoring,22,1s ago
12,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,78.70,78.80,0.10,47,At risk,23,2s ago
13,Cocoa Jan 26,Chicago,D-251,Maya Chen,80.40,80.55,0.15,60,Open,24,3s ago
14,Cotton Mar 26,Singapore,D-628,Noah Park,82.10,82.30,0.20,73,Filled,25,4s ago
15,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,83.80,84.05,0.25,86,Monitoring,26,5s ago
16,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,85.50,85.55,0.05,8,At risk,27,1s ago
17,Copper Sep 26,Chicago,D-1563,Theo Ivanov,87.20,87.30,0.10,16,Open,28,2s ago
18,Nickel Nov 26,Singapore,D-2874,Luca Perez,88.90,89.05,0.15,29,Filled,29,3s ago
19,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,90.60,90.80,0.20,42,Monitoring,12,4s ago
20,Lithium Mar 26,Sao Paulo,D-628,Noah Park,60.30,60.55,0.25,55,At risk,13,5s ago
21,Cocoa May 26,Chicago,D-844,Iris Chen,62.00,62.05,0.05,68,Open,14,1s ago
22,Cotton Jul 26,Singapore,D-1071,Sofia Bell,63.70,63.80,0.10,81,Filled,15,2s ago
23,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,65.40,65.55,0.15,94,Monitoring,16,3s ago
24,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,67.10,67.30,0.20,11,At risk,17,4s ago
25,Copper Jan 26,Chicago,D-251,Maya Chen,68.80,69.05,0.25,24,Open,18,5s ago
26,Nickel Mar 26,Singapore,D-628,Noah Park,70.50,70.55,0.05,37,Filled,19,1s ago
27,Aluminum May 26,Frankfurt,D-844,Iris Chen,72.20,72.30,0.10,50,Monitoring,20,2s ago
28,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,73.90,74.05,0.15,63,At risk,21,3s ago
29,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,75.60,75.80,0.20,76,Open,22,4s ago
30,Cotton Nov 26,Singapore,D-2874,Luca Perez,77.30,77.55,0.25,89,Filled,23,5s ago
31,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,79.00,79.05,0.05,8,Monitoring,24,1s ago
32,Wheat Mar 26,Sao Paulo,D-628,Noah Park,80.70,80.80,0.10,19,At risk,25,2s ago
33,Copper May 26,Chicago,D-844,Iris Chen,82.40,82.55,0.15,32,Open,26,3s ago
34,Nickel Jul 26,Singapore,D-1071,Sofia Bell,84.10,84.30,0.20,45,Filled,27,4s ago
35,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,85.80,86.05,0.25,58,Monitoring,28,5s ago
36,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,87.50,87.55,0.05,71,At risk,29,1s ago
37,Cocoa Jan 26,Chicago,D-251,Maya Chen,89.20,89.30,0.10,84,Open,12,2s ago
38,Cotton Mar 26,Singapore,D-628,Noah Park,90.90,91.05,0.15,8,Filled,13,3s ago
39,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,60.60,60.80,0.20,14,Monitoring,14,4s ago
40,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,62.30,62.55,0.25,27,At risk,15,5s ago
41,Copper Sep 26,Chicago,D-1563,Theo Ivanov,64.00,64.05,0.05,40,Open,16,1s ago
42,Nickel Nov 26,Singapore,D-2874,Luca Perez,65.70,65.80,0.10,53,Filled,17,2s ago
43,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,67.40,67.55,0.15,66,Monitoring,18,3s ago
44,Lithium Mar 26,Sao Paulo,D-628,Noah Park,69.10,69.30,0.20,79,At risk,19,4s ago
45,Cocoa May 26,Chicago,D-844,Iris Chen,70.80,71.05,0.25,92,Open,20,5s ago
46,Cotton Jul 26,Singapore,D-1071,Sofia Bell,72.50,72.55,0.05,9,Filled,21,1s ago
47,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,74.20,74.30,0.10,22,Monitoring,22,2s ago
48,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,75.90,76.05,0.15,35,At risk,23,3s ago
49,Copper Jan 26,Chicago,D-251,Maya Chen,77.60,77.80,0.20,48,Open,24,4s ago
50,Nickel Mar 26,Singapore,D-628,Noah Park,79.30,79.55,0.25,61,Filled,25,5s ago
51,Aluminum May 26,Frankfurt,D-844,Iris Chen,81.00,81.05,0.05,74,Monitoring,26,1s ago
52,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,82.70,82.80,0.10,87,At risk,27,2s ago
53,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,84.40,84.55,0.15,8,Open,28,3s ago
54,Cotton Nov 26,Singapore,D-2874,Luca Perez,86.10,86.30,0.20,17,Filled,29,4s ago
55,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,87.80,88.05,0.25,30,Monitoring,12,5s ago
56,Wheat Mar 26,Sao Paulo,D-628,Noah Park,89.50,89.55,0.05,43,At risk,13,1s ago
57,Copper May 26,Chicago,D-844,Iris Chen,91.20,91.30,0.10,56,Open,14,2s ago
58,Nickel Jul 26,Singapore,D-1071,Sofia Bell,60.90,61.05,0.15,69,Filled,15,3s ago
59,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,62.60,62.80,0.20,82,Monitoring,16,4s ago
60,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,64.30,64.55,0.25,95,At risk,17,5s ago
61,Cocoa Jan 26,Chicago,D-251,Maya Chen,66.00,66.05,0.05,12,Open,18,1s ago
62,Cotton Mar 26,Singapore,D-628,Noah Park,67.70,67.80,0.10,25,Filled,19,2s ago
63,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,69.40,69.55,0.15,38,Monitoring,20,3s ago
64,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,71.10,71.30,0.20,51,At risk,21,4s ago
65,Copper Sep 26,Chicago,D-1563,Theo Ivanov,72.80,73.05,0.25,64,Open,22,5s ago
66,Nickel Nov 26,Singapore,D-2874,Luca Perez,74.50,74.55,0.05,77,Filled,23,1s ago
67,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,76.20,76.30,0.10,90,Monitoring,24,2s ago
68,Lithium Mar 26,Sao Paulo,D-628,Noah Park,77.90,78.05,0.15,8,At risk,25,3s ago
69,Cocoa May 26,Chicago,D-844,Iris Chen,79.60,79.80,0.20,20,Open,26,4s ago
70,Cotton Jul 26,Singapore,D-1071,Sofia Bell,81.30,81.55,0.25,33,Filled,27,5s ago
71,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,83.00,83.05,0.05,46,Monitoring,28,1s ago
72,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,84.70,84.80,0.10,59,At risk,29,2s ago
73,Copper Jan 26,Chicago,D-251,Maya Chen,86.40,86.55,0.15,72,Open,12,3s ago
74,Nickel Mar 26,Singapore,D-628,Noah Park,88.10,88.30,0.20,85,Filled,13,4s ago
75,Aluminum May 26,Frankfurt,D-844,Iris Chen,89.80,90.05,0.25,8,Monitoring,14,5s ago
76,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,91.50,91.55,0.05,15,At risk,15,1s ago
77,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,61.20,61.30,0.10,28,Open,16,2s ago
78,Cotton Nov 26,Singapore,D-2874,Luca Perez,62.90,63.05,0.15,41,Filled,17,3s ago
79,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,64.60,64.80,0.20,54,Monitoring,18,4s ago
